APSIM output file, version = 5.3
Title = Dalby 1500mm wet soil Low Population
            day           year            lai        biomass          yield         sum_ep
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
             31           1958          0.004       6989.158       2136.416        203.185
             41           1959          0.006      11401.673       6349.859        249.760
             42           1960          0.003      11720.021       6168.483        274.390
             46           1961          0.006      12169.409       6562.773        255.226
             40           1962          0.001      10713.911       5965.243        211.259
             39           1963          0.001       9559.076       4632.960        217.837
             44           1964          0.004      11875.389       5889.707        272.007
             47           1965          0.003      11002.821       5428.279        272.043
             42           1966          0.005      11715.750       5540.849        256.989
             45           1967          0.004      11223.634       5514.370        275.121
             37           1968          0.001      10184.326       5007.904        245.016
             34           1969          0.003      11149.000       5460.651        275.625
             39           1970          0.004      11803.985       6264.923        261.406
             42           1971          0.003      10901.261       6052.461        211.585
             47           1972          0.001      12164.160       6748.990        242.175
             36           1973          0.005      11574.040       5753.036        258.665
             40           1974          0.003      11120.742       5936.576        222.194
             46           1975          0.003      12390.143       6356.036        270.000
             47           1976          0.005      11354.729       6487.798        222.887
             38           1977          0.005       9674.865       4682.924        241.767
             30           1978          0.001      10832.937       5691.983        254.790
             47           1979          0.004      11769.384       6306.795        250.729
             33           1980          0.004      10503.472       4176.605        268.098
             36           1981          0.001      11339.667       6029.427        239.516
             41           1982          0.004      10989.008       6134.661        241.024
             37           1983          0.007      11452.209       6022.845        278.556
             47           1984          0.001      11603.018       6177.273        215.738
             40           1985          0.004      10910.730       5440.575        260.358
             41           1986          0.003      10171.548       5435.007        250.075
             39           1987          0.001      11791.358       5861.956        283.221
             40           1988          0.002      11939.658       6308.613        257.661
             33           1989          0.001      11902.102       6282.198        264.814
             38           1990          0.001      12296.831       6090.726        260.153
             32           1991          0.003       9373.362       4455.467        235.845
             31           1992          0.001      11528.494       5487.281        269.014
             40           1993          0.006       9654.452       4502.218        232.142
             40           1994          0.001      11762.323       5854.808        294.193
             40           1995          0.004      11494.174       5915.405        271.459
             39           1996          0.002      11525.399       6541.818        231.958
             45           1997          0.007      10687.526       5219.772        250.111
             34           1998          0.002      10827.019       5618.733        267.406
             42           1999          0.004      11597.625       6381.097        249.492
             51           2000          0.002      12609.840       6940.347        242.856
             38           2001          0.005       8857.121       4049.457        214.433
             38           2002          0.005      11300.263       5864.095        276.936
