Summary_file = Dalby600High.sum
Title = Dalby 600mm wet soil High Population
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
        32      1958          0.002       4183.477          0.000        116.210
        41      1959          0.012      10942.545       4839.386        226.012
        42      1960          0.007      13359.358       5612.100        298.612
        46      1961          0.012       9657.568       2293.178        194.984
        40      1962          0.002      16491.422       8973.934        321.663
        40      1963          0.002       6044.956        824.111        139.238
        44      1964          0.008      13394.969       4769.598        277.885
        47      1965          0.006       9269.709       2418.690        211.690
        42      1966          0.011      13962.952       7431.964        297.564
        45      1967          0.008       8283.132       1270.127        193.354
        37      1968          0.002       6708.253        739.571        157.420
        34      1969          0.002       8120.785       2944.397        199.584
        39      1970          0.004      13841.302       4606.145        299.342
        42      1971          0.007      17284.494       9457.897        335.111
        47      1972          0.002      13527.746       4731.445        264.485
        36      1973          0.011      12931.706       4946.210        262.322
        40      1974          0.007      12590.050       5448.282        247.533
        46      1975          0.006      12040.617       5131.872        245.950
        47      1976          0.007      12284.664       2580.603        233.642
        38      1977          0.004       6882.198       1533.376        161.453
        30      1978          0.002       8371.325       2138.449        188.050
        47      1979          0.008       9408.269       2540.624        186.737
        33      1980          0.008       8507.949       2912.670        206.698
        36      1981          0.002      10581.327       3918.099        206.098
        41      1982          0.007      14060.076       6626.017        303.778
        37      1983          0.013       8929.179       3514.948        213.758
        47      1984          0.003      16160.703       7658.829        291.233
        40      1985          0.004       9246.079       2950.523        201.381
        41      1986          0.005       7861.148       2201.170        181.179
        39      1987          0.002      10722.154       2578.453        229.452
        40      1988          0.005      12828.115       5266.966        271.184
        34      1989          0.002       9073.875       2355.757        194.116
        38      1990          0.002      14231.323       5900.833        274.942
        32      1991          0.004       5871.966       1186.538        145.740
        31      1992          0.002       9279.269       3237.244        200.687
        40      1993          0.004       7195.327       1623.925        157.837
        40      1994          0.002      10385.055       4288.947        236.742
        40      1995          0.007       8884.674       1827.939        187.124
        39      1996          0.004      17442.516       9696.235        349.679
        45      1997          0.007       7710.041       2022.144        173.895
        34      1998          0.002       9910.954       3673.307        237.531
        42      1999          0.006      10680.168       4488.144        214.840
        51      2000          0.003      16746.980       8940.536        306.045
        38      2001          0.004       5979.779       1504.479        127.987
        38      2002          0.009      11856.042       4433.930        268.781
