ApsimVersion = 6.1
Title = Keith
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date  grain_protein   sowing_paw2n
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)            (%)            (?)
     17/11/1958            321           1958        392.500          319.595          0.000        13358.2         3645.6          0.273          0.662        156.564          1.771           6.46           13.5        101.409            270         10.112              ?
     08/11/1960            313           1960        447.800          305.331          0.000        12592.6         3292.1          0.261          0.638        144.153          1.687           5.55           12.2         89.647            261          9.632              ?
     10/10/1961            283           1961        269.400          269.400          0.000         9733.6         3247.6          0.334          0.750        126.968          2.211           7.18           19.7         85.481            227         12.627              ?
     18/11/1962            322           1962        404.200          349.470          0.000        13686.1         3686.3          0.269          0.641        182.058          1.664           6.13           15.9         91.242            269          9.501              ?
     09/11/1963            313           1963        301.600          271.732          0.000         9430.4         3155.4          0.335          0.750        123.655          2.096           6.61           17.0         68.935            268         11.970              ?
     22/11/1964            327           1964        454.800          395.044          0.000        12800.8         3912.7          0.306          0.688        167.717          1.746           6.83           15.8        141.275            278          9.969              ?
     26/10/1968            300           1968        435.900          350.420          0.000        10210.3         3585.5          0.351          0.747        123.579          1.900           6.81           16.5        132.169            246         10.847              ?
     30/10/1971            303           1971        373.900          328.454          0.000        11723.4         3875.0          0.331          0.727        142.877          1.878           7.28           14.7        102.214            247         10.725              ?
     10/11/1972            315           1972        261.500          247.496          0.000         9334.7         3205.9          0.343          0.757        129.240          2.223           7.13           19.1         79.909            266         12.696              ?
     12/10/1973            285           1973        354.600          301.185          0.000        10348.5         3620.7          0.350          0.757        129.716          2.092           7.57           15.6        105.967            229         11.945              ?
     16/11/1974            320           1974        359.800          312.762          0.000        13694.4         4061.9          0.297          0.681        177.521          1.750           7.11           13.9        105.450            269          9.992              ?
     13/11/1975            317           1975        341.200          303.831          0.000        10162.9         3989.2          0.393          0.782        132.714          2.098           8.37           17.0        126.749            269         11.982              ?
     13/11/1977            317           1977        201.000          198.973          0.000         4558.0         1307.4          0.287          0.504         60.166          2.883           3.77           53.4         58.067            271         16.464              ?
     04/10/1980            278           1980        307.600          289.710          0.000         8763.2         3013.5          0.344          0.763        110.724          2.427           7.32           19.7        100.388            224         13.861              ?
     18/11/1981            322           1981        396.600          275.704          0.000         9521.3         3360.8          0.353          0.734        127.806          1.880           6.32           18.5         86.155            275         10.737              ?
     25/10/1982            298           1982        149.600          149.595          0.000         3382.7          799.6          0.236          0.365         38.880          2.892           2.31           68.6         41.532            245         16.511              ?
     29/10/1983            302           1983        246.200          201.297          0.000        11969.6         4224.3          0.353          0.740        148.617          1.874           7.92           14.2         83.948            251         10.699              ?
     08/10/1985            281           1985        211.000          210.797          0.000         9318.3         3310.3          0.355          0.771        112.559          2.339           7.74           24.3         69.816            224         13.358              ?
     15/10/1986            288           1986        336.800          292.972          0.000        10180.8         3461.6          0.340          0.747        121.071          2.004           6.94           14.0        102.202            232         11.445              ?
     18/11/1987            322           1987        230.000          223.104          0.000         8972.4         3014.2          0.336          0.770        110.760          2.448           7.38           21.5         63.837            272         13.980              ?
     22/10/1988            296           1988        377.900          303.888          0.000         9780.6         3496.3          0.357          0.757        126.359          1.950           6.82           17.5         93.355            248         11.133              ?
     28/11/1989            332           1989        349.800          267.976          0.000        10517.5         3501.4          0.333          0.695        135.605          1.648           5.77           18.1         66.079            288          9.411              ?
     17/10/1991            290           1991        365.600          268.797          0.000         9564.1         3444.7          0.360          0.759        114.897          1.947           6.71           15.0        102.741            239         11.115              ?
     16/11/1992            321           1992        371.200          340.973          0.000        12586.7         4474.4          0.355          0.748        154.182          1.893           8.47           14.7        110.560            271         10.810              ?
     27/10/1995            300           1995        344.800          243.806          0.000         7750.4         2732.8          0.353          0.771         91.989          2.180           5.96           17.7         93.468            247         12.447              ?
     22/11/1996            327           1996        355.600          295.925          0.000        11743.7         3880.4          0.330          0.712        149.729          1.774           6.88           16.0         75.596            280         10.129              ?
     11/10/1998            284           1998        317.800          317.800          0.000         9056.9         3300.6          0.364          0.758        112.954          2.126           7.02           24.2        117.929            230         12.142              ?
     07/11/1999            311           1999        241.600          238.084          0.000         6106.2         2057.0          0.337          0.676         83.065          2.914           5.99           42.8         69.527            267         16.639              ?
     15/11/2000            320           2000        289.000          288.919          0.000        10493.9         4123.1          0.393          0.775        134.806          1.962           8.09           20.2         83.509            273         11.201              ?
     11/11/2002            315           2002        206.100          206.085          0.000         5977.3         1754.5          0.294          0.669         72.631          2.898           5.09           39.8         47.793            267         16.550              ?
